rank,name,lowercase,ssa_us_count,source
2655,Zuma,zuma,156,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2656,Zyia,zyia,156,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2657,Amun,amun,155,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2658,Dois,dois,155,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2659,Duru,duru,155,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2660,Huie,huie,155,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2661,Ilir,ilir,155,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2662,Mico,mico,155,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2663,Neka,neka,155,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2664,Pepe,pepe,155,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2665,Tjay,tjay,155,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2666,Ulus,ulus,155,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2668,Arra,arra,154,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2669,Dula,dula,154,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2670,Eimi,eimi,154,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2671,Fumi,fumi,154,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2672,Kida,kida,154,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2673,Luay,luay,154,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2674,Rula,rula,154,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2675,Trei,trei,154,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2676,Cait,cait,153,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2677,Nary,nary,153,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2678,Rupa,rupa,153,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2679,Arad,arad,152,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2680,Axie,axie,152,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2681,Imri,imri,152,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2682,Kang,kang,152,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2683,Usha,usha,152,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2684,Vane,vane,152,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2685,Vika,vika,152,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2686,Yuko,yuko,152,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2687,Nera,nera,151,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2688,Orby,orby,151,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2689,Ryin,ryin,151,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2690,Ayad,ayad,150,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2691,Deya,deya,150,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2692,Jull,jull,150,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2693,Omah,omah,150,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2694,Osby,osby,150,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2695,Raji,raji,150,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2696,Anyi,anyi,149,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2697,Asal,asal,149,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2698,Juma,juma,149,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2699,Khye,khye,149,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2700,Oday,oday,149,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2701,Olis,olis,149,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2702,Peni,peni,149,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2703,Asah,asah,148,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2704,Chey,chey,148,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2705,Egon,egon,148,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2706,Mady,mady,148,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2707,Naje,naje,148,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2708,Noeh,noeh,148,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2709,Odas,odas,148,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2710,Zoel,zoel,148,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2712,Akif,akif,147,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2713,Awad,awad,147,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2714,Dahl,dahl,147,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2715,Jing,jing,147,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2716,Snoh,snoh,147,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2717,Zevi,zevi,147,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2718,Cono,cono,146,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2719,Jaan,jaan,146,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2720,Orra,orra,146,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2721,Skya,skya,146,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2722,Taci,taci,146,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2723,Heli,heli,145,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2724,Kieu,kieu,145,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2725,Luie,luie,145,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2726,Lyal,lyal,145,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2727,Caly,caly,144,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2728,Haim,haim,144,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2729,Kiam,kiam,144,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2730,Nial,nial,144,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2731,Tima,tima,144,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2732,Aaro,aaro,143,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2733,Cozy,cozy,143,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2734,Elvi,elvi,143,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2735,Niza,niza,143,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2736,Tata,tata,143,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2737,Treu,treu,143,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2738,Bich,bich,142,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2739,Maty,maty,142,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2740,Mirl,mirl,142,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2741,Naol,naol,142,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2742,Pihu,pihu,142,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2743,Rett,rett,142,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2744,Viya,viya,142,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2745,Zoua,zoua,142,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2746,Ammi,ammi,141,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2747,Chez,chez,141,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2748,Drae,drae,141,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2749,Fifi,fifi,141,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2750,Kees,kees,141,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2751,Mete,mete,141,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2752,Deny,deny,140,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2753,Marv,marv,140,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2754,Sayf,sayf,140,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2755,Aala,aala,139,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2756,Coyt,coyt,139,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2757,Icey,icey,139,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2758,Itha,itha,139,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2759,Mati,mati,139,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2760,Nyel,nyel,139,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2761,Zyen,zyen,139,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2762,Elih,elih,138,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2763,Keah,keah,138,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2764,Alga,alga,137,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2765,Gaje,gaje,137,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2766,Mata,mata,137,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2768,Xeng,xeng,137,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2769,Deem,deem,136,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2770,Gera,gera,136,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2771,Kery,kery,136,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2773,Miku,miku,136,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2774,Moet,moet,136,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2775,Ozil,ozil,136,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2776,Yian,yian,136,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2777,Kesa,kesa,135,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2778,Aidy,aidy,134,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2779,Beza,beza,134,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2780,Chin,chin,134,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2781,Iaan,iaan,134,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2782,Jora,jora,134,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2783,Mung,mung,134,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2784,Ulys,ulys,134,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2785,Vaya,vaya,134,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2786,Zuha,zuha,134,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2787,Esmi,esmi,133,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2788,Irah,irah,133,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2789,Jarl,jarl,133,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2790,Kada,kada,133,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2791,Leaf,leaf,133,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2792,Loza,loza,133,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2793,Etoy,etoy,132,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2794,Free,free,132,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2795,Mann,mann,132,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2796,Tegh,tegh,132,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2797,Aous,aous,131,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2798,Asly,asly,131,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2799,Cloy,cloy,131,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2800,Cuma,cuma,131,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2801,Endi,endi,131,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2803,Wise,wise,131,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2804,Cace,cace,130,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2805,Cope,cope,130,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2806,Cova,cova,130,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2807,Elga,elga,130,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2808,Icel,icel,130,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2810,Miaa,miaa,130,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2811,Raea,raea,130,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2812,Cele,cele,129,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2813,Giah,giah,129,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2814,Jury,jury,129,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2815,Leto,leto,129,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2816,Mort,mort,129,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2817,Raun,raun,129,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2818,Sevi,sevi,129,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2819,Axil,axil,128,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2820,Dare,dare,128,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2821,Keta,keta,128,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2822,Kili,kili,128,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2823,Olon,olon,128,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2824,Pape,pape,128,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2825,Razi,razi,128,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2826,Akya,akya,127,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2827,Aoki,aoki,127,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2828,Arli,arli,127,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2829,Ikey,ikey,127,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2830,Odai,odai,127,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2831,Ajna,ajna,126,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2832,Doye,doye,126,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2833,Drin,drin,126,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2834,Jozy,jozy,126,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2835,Nuno,nuno,126,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2837,Yali,yali,126,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2838,Ecko,ecko,125,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2839,Eddi,eddi,125,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2841,Redd,redd,125,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2842,Reha,reha,125,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2843,Rien,rien,125,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2844,Suda,suda,125,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2845,Trek,trek,125,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2846,Akon,akon,124,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2847,Anye,anye,124,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2848,Bash,bash,124,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2849,Dorr,dorr,124,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2850,Kiyo,kiyo,124,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2851,Maor,maor,124,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2852,Mory,mory,124,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2853,Phat,phat,124,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2854,Vong,vong,124,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2855,Ahni,ahni,123,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2856,Eann,eann,123,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2857,Ezma,ezma,123,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2858,Hanz,hanz,123,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2860,Jayr,jayr,123,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2861,Layn,layn,123,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2862,Mida,mida,123,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2863,Nagi,nagi,123,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2864,Ogle,ogle,123,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2865,Rage,rage,123,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2866,Acre,acre,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2867,Alka,alka,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2868,Anir,anir,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2869,Bruk,bruk,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2870,Cici,cici,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2871,Debe,debe,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2872,Goku,goku,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2874,Jdyn,jdyn,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2875,Joal,joal,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2876,Ocia,ocia,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2877,Orit,orit,122,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2878,Benz,benz,121,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2879,Noir,noir,121,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2880,Xabi,xabi,121,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2881,Aksh,aksh,120,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2882,Anes,anes,120,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2883,Bion,bion,120,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2884,Chun,chun,120,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2885,Hiep,hiep,120,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2886,Jind,jind,120,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2887,Klyn,klyn,120,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2888,Seva,seva,120,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2889,Blia,blia,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2890,Ceci,ceci,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2891,Conn,conn,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2892,Erum,erum,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2893,Garv,garv,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2894,Ishi,ishi,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2896,Lind,lind,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2897,Mane,mane,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2898,Nyal,nyal,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2899,Tija,tija,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2900,Yoon,yoon,119,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2901,Mead,mead,118,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2902,Nore,nore,118,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2903,Piya,piya,118,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2904,Zeba,zeba,118,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2905,Haly,haly,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2906,Hara,hara,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2907,Jaxn,jaxn,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2908,Lynk,lynk,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2909,Nylo,nylo,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2910,Onda,onda,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2911,Riel,riel,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2912,Tyme,tyme,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2913,Veya,veya,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2914,Voyd,voyd,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2915,Zong,zong,117,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2916,Boen,boen,116,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2917,Caci,caci,116,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2918,Inri,inri,116,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2919,Itzy,itzy,116,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2920,Jery,jery,116,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2921,Kamy,kamy,116,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2922,Marl,marl,116,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2923,Mosi,mosi,116,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2924,Nyan,nyan,116,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2925,Ekko,ekko,115,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2926,Ewin,ewin,115,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2927,Jaze,jaze,115,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2928,Jyra,jyra,115,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2929,Lile,lile,115,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2930,Luxx,luxx,115,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2931,Lyly,lyly,115,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2932,Mori,mori,115,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2933,Nury,nury,115,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2934,Cina,cina,114,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2935,Anab,anab,113,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2936,Cheo,cheo,113,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2937,Roda,roda,113,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2938,Sarp,sarp,113,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2939,Ekta,ekta,112,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2940,Joda,joda,112,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2941,Kyen,kyen,112,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2942,Nouh,nouh,112,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2943,Seba,seba,112,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2944,Tasi,tasi,112,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2945,Zeki,zeki,112,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2946,Abem,abem,111,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2947,Cray,cray,111,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2948,Crit,crit,111,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2949,Dawt,dawt,111,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2950,Eloa,eloa,111,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2951,Lany,lany,111,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2952,Yafa,yafa,111,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2953,Ahmi,ahmi,110,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2954,Jany,jany,110,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2955,Kaii,kaii,110,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2956,Mong,mong,110,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2957,Rawn,rawn,110,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2958,Skii,skii,110,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2959,Soli,soli,110,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2960,Tola,tola,110,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2961,Zahi,zahi,110,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2962,Abas,abas,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2963,Azka,azka,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2964,Batu,batu,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2965,Bita,bita,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2966,Brex,brex,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2967,Ciin,ciin,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2968,Hser,hser,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2969,Jaja,jaja,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2970,Kare,kare,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2971,Mian,mian,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2972,Rini,rini,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2973,Tiam,tiam,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2974,Zhen,zhen,109,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2975,Abia,abia,108,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2976,Edee,edee,108,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2977,Hedi,hedi,108,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2978,Ison,ison,108,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2979,Jyla,jyla,108,"U.S. SSA national baby-name data, 1880-2024 local mirror"
