rank,name,lowercase,ssa_us_count,source
2102,Kyel,kyel,289,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2103,Loel,loel,289,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2104,Dvid,dvid,288,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2105,Oria,oria,288,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2106,Rice,rice,287,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2107,Adit,adit,286,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2108,Ivet,ivet,286,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2109,Luxe,luxe,286,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2110,Wirt,wirt,286,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2111,Babs,babs,285,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2112,Phuc,phuc,285,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2113,Dvon,dvon,284,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2114,Tuck,tuck,284,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2115,Chia,chia,283,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2116,Jeno,jeno,283,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2117,Febe,febe,282,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2118,Koni,koni,282,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2119,Leul,leul,282,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2120,Neya,neya,282,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2121,Song,song,282,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2122,Zeek,zeek,282,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2123,Fina,fina,281,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2124,Less,less,281,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2125,Orah,orah,281,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2126,Shey,shey,281,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2127,Xuri,xuri,281,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2128,Disa,disa,280,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2129,Duel,duel,280,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2130,Meko,meko,280,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2131,Hemi,hemi,279,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2132,Isel,isel,279,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2134,Lief,lief,279,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2135,Foxx,foxx,278,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2136,Marz,marz,278,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2137,Arha,arha,277,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2139,Lene,lene,277,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2140,Opel,opel,277,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2141,Luda,luda,276,"U.S. SSA national baby-name data, 1880-2024 local mirror"
